id,dataset,resource,base,model,property,type,ref,source,prepare,level,status,visibility,access,uri,eli,title,description
,,,,,name_gen_latin,string,,VARDAS_K_LOT,,5,completed,public,public,locn:geographicName,,Vardas kilmininko linksniu lotyniškomis raidėmis,Gyvenamosios vietovės vardas kilmininko linksniu lotyniškomis raidėmis
,,,,,admin_unit,ref,AdminUnit[code],ADM_KODAS,,5,completed,public,public,,,,
,,,,,admin_unit.code,integer,,ADM_KODAS,,4,completed,package,public,,,"Gyvenamosios vietovės savivaldybės arba seniūnijos, kurios teritorijoje yra gyvenamoji vietovė, kodas","Gyvenamosios vietovės savivaldybės arba seniūnijos, kurios teritorijoje yra gyvenamoji vietovė, kodas"
,,,,,_created,date,D,NUO,,5,completed,public,public,dct:created,,Objekto atributų rinkinio galiojimo pradžia,Gyvenamosios vietovės objekto atributų rinkinio galiojimo pradžios data
,,,,,_updated,date,D,IKI,,5,completed,public,public,dct:updated,,Objekto atributų rinkinio galiojimo pabaiga,Gyvenamosios vietovės objekto atributų rinkinio galiojimo pabaigos data
,,,,,registered,date,D,GYV_NUO,,4,completed,package,public,,,Objekto įregistravimo data,Gyvenamosios vietovės objekto įregistravimo data
,,,,,deregistered,date,D,GYV_IKI,,4,completed,package,public,,,Objekto išregistravimo data,Gyvenamosios vietovės objekto išregistravimo data
,,,,,,,,,,,,,,,,,
,,,,StreetType,,,title@lt,/GATVES/GATVE,,2,completed,public,,skos:Concept,,Gatvės tipas,Gatvės tipas
,,,,,id,integer,,,,0,completed,package,public,,,Identifikatorius,Identifikatorius
,,,,,title@lt,string required,,TIPAS,,5,completed,public,public,,,Tipo pavadinimas,"Gatvės tipas (gatvė, skersgatvis, akligatvis, alėja, prospektas, takas, plentas, kelias, aplinkkelis, vieškelis, aikštė, bulvaras, skveras, krantinė)"
,,,,,_label@lt,string,,TIPAS,,5,completed,public,public,,,Tipo pavadinimas,"Gatvės tipas (gatvė, skersgatvis, akligatvis, alėja, prospektas, takas, plentas, kelias, aplinkkelis, vieškelis, aikštė, bulvaras, skveras, krantinė)"
,,,,,abbreviation@lt,string,,TIPO_SANTRUMPA,,5,completed,public,public,,,Tipo santrumpa,"Gatvės tipo santrumpa (gatvė - g., skersgatvis - skg., akligatvis - aklg., alėja - al., prospektas - pr., takas - tak., plentas - pl., kelias - kel., aplinkkelis - aplinkl., vieškelis - vieškl., aikštė - a., bulvaras - bul., skveras - skv., krantinė - krant.)"
,,,,,,,,,,,,,,,,,
,,,,Street,,,code,/GATVES/GATVE,,5,completed,public,,dct:Location,,Gatvė,Gatvė
,,,,,code,integer required,,GAT_KODAS,,5,completed,public,public,dct:identifier,,Identifikavimo kodas,Gatvės identifikavimo kodas
,,,,,id,integer,,GAT_ID,,5,completed,public,private,dct:identifier,,Techninis identifikatorius,Gatvės techninis identifikatorius (planuojama neteikti)
,,,,,type,ref,StreetType,TIPAS,,2,completed,public,public,,,,
,,,,,type.title@lt,string,,TIPAS,,5,completed,public,public,,,,
,,,,,type.abbreviation@lt,string,,TIPO_SANTRUMPA,,5,completed,public,public,,,,
,,,,,name_gen@lt,string,,VARDAS_K,,5,completed,public,public,locn:geographicName,,Vardas,Gatvės vardas kilmininko linksniu
,,,,,name_gen_latin,string,,VARDAS_K_LOT,,5,completed,public,public,locn:geographicName,,Vardas lotyniškomis raidėmis,Gatvės vardas kilmininko linksniu lotyniškomis raidėmis
,,,,,_label@lt,string,,VARDAS_K,,5,completed,public,public,,,Vardas,Gatvės vardas kilmininko linksniu
,,,,,location,ref,Location[code],GYV_KODAS,,5,completed,public,public,,,Priklausomybė gyvenamajai vietovei,"Gyvenamosios vietovės, kurios teritorijoje yra gatvė, kodas"
,,,,,location.code,integer,,GYV_KODAS,,5,completed,public,public,,,,
,,,,,_created,date,D,NUO,,5,completed,public,public,dct:created,,Gatvės objekto atributų rinkinio galiojimo pradžia,Gatvės objekto atributų rinkinio galiojimo pradžios data
,,,,,_updated,date,D,IKI,,5,completed,public,public,dct:updated,,Gatvės objekto atributų rinkinio galiojimo pabaiga,Gatvės objekto atributų rinkinio galiojimo pabaigos data
,,,,,registered,date,D,GAT_NUO,,4,completed,package,public,,,Gatvės objekto įregistravimo data,Gatvės objekto įregistravimo data
,,,,,deregistered,date,D,GAT_IKI,,4,completed,package,public,,,Gatvės objekto išregistravimo data,Gatvės objekto išregistravimo data
,,,,,,,,,,,,,,,,,
,,,,LocatorDesignator,,,"address, designator, type",,,0,completed,public,,ad:LocatorDesignator,,,
,,,,,address,ref,Address,,,0,completed,public,public,,,,
,,,,,designator,string,,,,0,completed,public,public,ad:LocatorDesignator.designator,,,
,,,,,_label@lt,string,,,,0,completed,public,public,,,,
,,,,,type,string,,,,0,completed,public,public,ad:LocatorDesignator.type,,,
,,,,,,enum,,,"'buildingIdentifier'",0,completed,public,public,ldtype:buildingIdentifier,,,
,,,,,,,,,"'housingIdentifier'",0,completed,protected,public,,,Korpuso identifikatorius,Korpuso identifikatorius
,,,,,,,,,"'entranceDoorIdentifier'",0,completed,public,public,ldtype:entranceDoorIdentifier,,,
,,,,Address,,,code,,,0,completed,public,,locn:Address,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.235119/asr#14.6,"Adresas suteiktas žemės sklypui, pastatui arba patalpai","Adresas suteiktas žemės sklypui, pastatui arba patalpai"
,,,,,code,integer required,,,,0,completed,public,public,locn:addressId,,,
,,,,,id,integer,,,,0,completed,public,private,locn:addressId,,,
,,,,,locator_designator[],backref,LocatorDesignator,,,0,completed,public,public,ad:LocatorDesignator,,,
,,,,,location,ref,Location,,,0,completed,public,public,,,,
,,,,,street,ref,Street,,,0,completed,public,public,,,,
,,,,,geometry,ref,Geometry,,,0,completed,public,public,,,,
,,,,,post_code,string,,,,0,completed,public,public,locn:postCode,,Adreso suteikto žemės sklypui ir/arba pastatui pašto kodas,Adreso suteikto žemės sklypui ir/arba pastatui universaliųjų pašto paslaugų teikėjo adresui priskirtas pašto kodas
,,,,,registered,date,D,,,0,completed,package,public,,,Adreso objekto įregistravimo data,Adreso objekto įregistravimo data
,,,,,deregistered,date,D,,,0,completed,package,public,,,Adreso objekto išregistravimo data,Adreso objekto išregistravimo data
,,,,,,,,,,,,,,,,,
,,,,Geometry,,,coordinates,/ADRESAI/ADRESAS,,5,completed,public,,locn:Geometry,,,
,,,,,address,ref,Address,,,1,completed,public,public,,,,
,,,,,coordinates,"geometry(point,3346)",,,"point(x_coordinate, y_coordinate)",5,completed,public,public,locn:geometry,,,
,,,,,x_coordinate,integer,,X,,2,completed,public,public,cv:longitude,,Adreso vietos taško X koordinatė,Adreso vietos taško X koordinatė LKS94 koordinačių sistemoje
,,,,,y_coordinate,integer,,Y,,2,completed,public,public,cv:latitude,,Adreso vietos taško Y koordinatė,Adreso vietos taško Y koordinatė LKS94 koordinačių sistemoje
,,,,,,,,,,,,,,,,,
,,,Address,,,,code,,,1,completed,public,,locn:Address,,,
,,,,Building,,,code,/ADRESAI/ADRESAS,,5,completed,public,,locn:Address,,Adresas suteiktas žemės sklypui ir/arba pastatui,Adresas suteiktas žemės sklypui ir/arba pastatui
,,,,,code,integer required,,AOB_KODAS,,5,completed,public,public,locn:addressId,,Adreso suteikto žemės sklypui ir/arba pastatui identifikavimo kodas,Adreso suteikto žemės sklypui ir/arba pastatui identifikavimo kodas
,,,,,id,integer,,AOB_ID,,5,completed,public,private,locn:addressId,,Adreso suteikto žemės sklypui ir/arba pastatui techninis identifikatorius,Adreso suteikto žemės sklypui ir/arba pastatui techninis identifikatorius (planuojama neteikti)
,,,,,location.admin_unit.code,integer,,ADM_KODAS,,5,completed,public,public,,,,
,,,,,location.admin_unit,ref,AdminUnit[code],ADM_KODAS,,5,completed,public,public,,,,
,,,,,location,ref,Location[code],GYV_KODAS,,5,completed,public,public,,,Adreso suteikto žemės sklypui ir/arba pastatui priklausomybė gyvenamajai vietovei,"Adreso suteikto žemės sklypui ir/arba pastatui gyvenamosios vietovės, kurios teritorijoje yra gatvė, kodas"
